TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,YEAR
Houston,B12,34,30,124.8,88,0.9823,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49,43.9,39.8,30.9,61.4,11.6,1,2015
Duke,ACC,34,31,128.5,91.3,0.9807,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,58,43.4,37.7,30.9,65.7,9.6,1,2015
Auburn,SEC,33,28,129,93.7,0.9756,55.7,46,13.4,17.4,34.3,30.3,33.5,39.2,56.1,47.2,36.8,29.2,67.8,12.5,1,2015
Florida,SEC,34,30,127.7,94,0.9713,55,45.3,15,17,38.1,28.8,32.6,33,56.4,45.9,35.5,29.6,69.5,11.1,1,2015
Alabama,SEC,33,25,127.6,96.4,0.9621,56.3,47.9,16.7,13.5,34.7,29.2,40.1,33.9,59.7,48.8,35,30.8,74.6,9.8,2,2015
Tennessee,SEC,34,27,119.3,91.1,0.957,52.8,44.4,16,17.8,35.4,30.1,35.4,29.4,54.1,46.7,34,27.8,63.8,9.3,2,2015
Texas Tech,B12,33,25,126,96.7,0.9546,55.5,48,14.8,17.4,34.3,28.5,29.7,33.5,54.3,48.2,37.9,31.7,65.6,5.8,3,2015
Iowa St.,B12,33,24,118.9,92.3,0.9481,54.6,48.4,16.9,21.8,32.2,28.4,38.5,28.9,55.1,47.5,35.8,33.2,68.5,5.4,3,2015
Arizona,B12,34,22,123.9,96.5,0.9469,52.9,48.6,16.2,16.6,35.9,28.5,36.6,29.2,55.1,47.2,32.4,33.6,69.9,5.4,4,2015
Maryland,B10,33,25,117.8,92,0.9449,53.8,47,14.5,20.2,31,27.2,32.9,25.9,52.7,47.6,37.2,30.7,69.8,4.6,4,2015
Gonzaga,WCC,33,25,123.3,96.4,0.9441,55.7,47.5,13.2,18.2,32.7,26.4,30.9,28.6,57.8,49.1,34.4,30.2,70.1,2.7,8,2015
Wisconsin,B10,35,26,122.4,96.1,0.9418,53.6,47.9,14.1,14.5,28,26.6,33.8,28.1,54.7,46.8,34.9,33,67.5,5.9,3,2015
Michigan St.,B10,33,27,116.8,91.8,0.941,51.2,46.1,16.6,16.4,35.3,24.6,37.8,33.1,53.6,49.1,30.8,27.9,67.9,7.8,2,2015
BYU,B12,33,24,125.4,99.1,0.9377,57.2,50.6,17.6,17.2,33.3,26.1,30.2,29.5,58.6,49.3,37.1,34.8,67.2,4.8,6,2015
St. John's,BE,34,30,112.6,89.1,0.9364,49.7,46.6,15.6,21.9,37.3,28.9,30.2,30.4,51.5,45.8,30.4,31.8,70.1,7.8,2,2015
Missouri,SEC,33,22,127,100,0.9344,56.2,50.7,15.2,20,33.7,32.2,46.8,35.3,56.7,51.1,37,33.4,68.1,3,6,2015
Kentucky,SEC,33,22,123.9,98.7,0.9315,56,50.4,15.2,14,28.7,25.9,35.9,31,55.9,53.7,37.4,30.8,70.9,5.6,3,2015
Purdue,B10,33,22,125,100,0.9289,56.3,52,15.6,17.8,31,29.9,34.6,31,55.5,56.4,38.5,30.7,65,4.3,4,2015
Louisville,ACC,34,27,118.3,94.7,0.9288,53.4,49.2,16.5,18.6,32.2,27.2,34.5,26.8,57,48.3,33,33.7,68.8,5.5,8,2015
Kansas,B12,33,21,116.1,93,0.9274,53.1,46.2,16.7,15.6,30.4,27.5,24.3,28,53.4,46.1,35.2,30.9,68.3,4.1,7,2015
